Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.9000      -17592.3515  -17593.0469       0.6954   256.2
3.9500      -17592.1933  -17593.0996       0.9063   333.9
4.0000      -17592.1360  -17593.0664       0.9304   342.7
4.0500      -17591.9094  -17593.0645       1.1551   425.5
4.1000      -17592.0786  -17593.0391       0.9604   353.8
4.1500      -17591.9486  -17593.1562       1.2076   444.9
4.2000      -17592.1284  -17593.0215       0.8931   329.0
4.2500      -17592.1938  -17592.8906       0.6968   256.7
4.3000      -17591.9789  -17593.0215       1.0426   384.1
4.3500      -17592.0336  -17592.9082       0.8746   322.2
4.4000      -17592.1339  -17593.0977       0.9638   355.1
4.4500      -17592.2162  -17593.2207       1.0045   370.1
4.5000      -17592.2551  -17593.0137       0.7585   279.4
4.5500      -17592.2312  -17593.0391       0.8079   297.6
4.6000      -17592.2760  -17593.2012       0.9252   340.8
4.6500      -17592.2620  -17592.9727       0.7106   261.8
4.7000      -17592.2063  -17593.0273       0.8210   302.5
4.7500      -17592.3759  -17593.0938       0.7179   264.5
4.8000      -17592.4360  -17593.0977       0.6617   243.8
4.8500      -17592.5478  -17593.2109       0.6631   244.3
4.9000      -17592.6617  -17593.3262       0.6645   244.8
4.9500      -17592.5716  -17593.0391       0.4675   172.2
5.0000      -17592.6201  -17593.2969       0.6768   249.3
5.0500      -17592.4134  -17593.2012       0.7877   290.2
5.1000      -17592.2918  -17592.8750       0.5832   214.8
5.1500      -17592.2841  -17593.0566       0.7726   284.6
5.2000      -17592.2206  -17593.0879       0.8673   319.5
5.2500      -17592.2665  -17593.1211       0.8546   314.8
5.3000      -17592.3530  -17593.0352       0.6821   251.3
5.3500      -17592.4591  -17593.1953       0.7362   271.2
5.4000      -17592.4750  -17592.9551       0.4801   176.9
5.4500      -17592.4218  -17593.2480       0.8262   304.4
5.5000      -17592.4682  -17593.0840       0.6158   226.9
5.5500      -17592.3757  -17593.1621       0.7864   289.7
5.6000      -17592.4885  -17593.1816       0.6931   255.4
5.6500      -17592.4193  -17593.2480       0.8287   305.3
5.7000      -17592.4551  -17593.1191       0.6640   244.6
5.7500      -17592.3515  -17592.9941       0.6427   236.8
5.8000      -17592.3518  -17593.3184       0.9666   356.1
5.8500      -17592.3425  -17593.0430       0.7004   258.0
5.9000      -17592.3575  -17593.1348       0.7773   286.4
5.9500      -17592.1798  -17593.0508       0.8710   320.9
6.0000      -17592.0592  -17593.2227       1.1635   428.6
6.0500      -17592.0840  -17592.8535       0.7695   283.5
6.1000      -17592.0364  -17593.1211       1.0847   399.6
6.1500      -17592.0119  -17592.9863       0.9744   359.0
6.2000      -17592.0659  -17592.7988       0.7329   270.0
6.2500      -17592.2621  -17593.2812       1.0192   375.5
6.3000      -17592.2907  -17592.9961       0.7054   259.9
6.3500      -17592.2366  -17593.0605       0.8239   303.5
6.4000      -17592.1737  -17592.9336       0.7599   279.9
6.4500      -17592.4238  -17593.1973       0.7735   285.0
6.5000      -17592.3544  -17593.0645       0.7101   261.6
6.5500      -17592.4372  -17593.1953       0.7581   279.3
6.6000      -17592.4817  -17593.1387       0.6570   242.0
6.6500      -17592.5533  -17593.0645       0.5111   188.3
6.7000      -17592.5313  -17593.0586       0.5273   194.2
6.7500      -17592.4194  -17593.1973       0.7778   286.6
6.8000      -17592.2913  -17592.8965       0.6052   222.9
6.8500      -17592.2445  -17592.9844       0.7399   272.6
6.9000      -17592.2144  -17593.0293       0.8149   300.2
6.9500      -17592.3544  -17593.1934       0.8390   309.1
7.0000      -17592.3872  -17593.1367       0.7495   276.1
7.0500      -17592.4920  -17593.1719       0.6798   250.4
7.1000      -17592.4347  -17593.0488       0.6141   226.2
7.1500      -17592.3287  -17593.0703       0.7416   273.2
7.2000      -17592.4084  -17593.1777       0.7693   283.4
7.2500      -17592.3047  -17593.1055       0.8008   295.0
7.3000      -17592.2620  -17593.0840       0.8220   302.8
7.3500      -17592.1371  -17592.8027       0.6657   245.2
7.4000      -17592.0363  -17592.9258       0.8894   327.7
7.4500      -17591.8936  -17592.8125       0.9189   338.5
7.5000      -17591.9724  -17592.8809       0.9084   334.7
7.5500      -17592.0714  -17592.8438       0.7723   284.5
7.6000      -17591.9978  -17592.8652       0.8675   319.6
7.6500      -17592.1040  -17593.1270       1.0230   376.9
7.7000      -17592.1873  -17592.9707       0.7834   288.6
7.7500      -17592.2310  -17592.9766       0.7456   274.7
7.8000      -17592.2649  -17593.1738       0.9090   334.9
7.8500      -17592.1339  -17592.8047       0.6708   247.1
7.9000      -17592.0545  -17593.0078       0.9533   351.2
7.9500      -17592.0704  -17592.9863       0.9160   337.4
8.0000      -17592.0881  -17592.9531       0.8650   318.7
8.0500      -17592.0503  -17592.9336       0.8833   325.4
8.1000      -17592.1612  -17593.1074       0.9462   348.6
8.1500      -17592.2869  -17593.1504       0.8635   318.1
8.2000      -17592.1232  -17592.8262       0.7030   259.0
8.2500      -17592.1719  -17592.9141       0.7421   273.4
8.3000      -17592.2385  -17593.1289       0.8904   328.0
8.3500      -17592.1494  -17593.0137       0.8643   318.4
8.4000      -17592.1386  -17592.8047       0.6660   245.4
8.4500      -17592.2271  -17593.0840       0.8569   315.7
8.5000      -17592.0555  -17592.9434       0.8879   327.1
8.5500      -17592.0393  -17592.9082       0.8689   320.1
8.6000      -17592.0779  -17593.0527       0.9749   359.1
8.6500      -17591.9173  -17592.9102       0.9929   365.8
8.7000      -17591.9859  -17592.8320       0.8461   311.7
8.7500      -17591.8967  -17592.9629       1.0662   392.8
8.8000      -17592.1776  -17592.9590       0.7814   287.9
8.8500      -17592.2146  -17592.9551       0.7405   272.8
8.9000      -17592.1880  -17592.8242       0.6363   234.4
8.9500      -17592.0943  -17592.7480       0.6538   240.8
9.0000      -17592.1235  -17592.9277       0.8042   296.3
9.0500      -17592.2901  -17592.9629       0.6728   247.9
9.1000      -17592.1717  -17593.0312       0.8595   316.6
9.1500      -17592.1078  -17592.8613       0.7535   277.6
9.2000      -17591.9946  -17593.0039       1.0093   371.8
9.2500      -17591.9281  -17592.9883       1.0602   390.6
9.3000      -17592.1781  -17593.0332       0.8551   315.0
9.3500      -17592.1922  -17592.9941       0.8020   295.4
9.4000      -17592.2562  -17592.9414       0.6852   252.4
9.4500      -17592.2132  -17593.0117       0.7986   294.2
9.5000      -17592.2117  -17593.1113       0.8996   331.4
9.5500      -17592.2565  -17593.0469       0.7903   291.2
9.6000      -17592.1860  -17593.0449       0.8590   316.4
9.6500      -17592.1771  -17593.0723       0.8951   329.8
9.7000      -17592.2396  -17592.8477       0.6081   224.0
9.7500      -17592.1784  -17593.0586       0.8802   324.3
9.8000      -17592.1470  -17592.9238       0.7768   286.2
9.8500      -17592.0596  -17592.7773       0.7177   264.4
9.9000      -17592.1980  -17592.9082       0.7103   261.7
9.9500      -17592.2172  -17593.1289       0.9117   335.9
10.0000     -17592.1585  -17593.0312       0.8727   321.5
